=== DEBUG LOGG FÖR MATCH ===
Antal spelare: 4
Startfärg: GREEN
----------------------------

Tur 316 | Player 1 passade
Tur 320 | Player 1 passade
Tur 324 | Player 1 passade
Tur 328 | Player 1 passade
Tur 332 | Player 1 passade
Tur 336 | Player 1 passade
Tur 340 | Player 1 passade
Tur 344 | Player 1 passade
Tur 348 | Player 1 passade
Tur 352 | Player 1 passade
Tur 356 | Player 1 passade
Tur 360 | Player 1 passade
Tur 364 | Player 1 passade
Tur 368 | Player 1 passade
Tur 372 | Player 1 passade
Tur 376 | Player 1 passade
Tur 380 | Player 1 passade
Tur 384 | Player 1 passade
Tur 388 | Player 1 passade
Tur 392 | Player 1 passade
Tur 396 | Player 1 passade
Tur 400 | Player 1 passade
Tur 404 | Player 1 passade
Tur 408 | Player 1 passade
Tur 412 | Player 1 passade
Tur 416 | Player 1 passade
Tur 420 | Player 1 passade
Tur 424 | Player 1 passade
Tur 428 | Player 1 passade
Tur 432 | Player 1 passade
Tur 436 | Player 1 passade
Tur 440 | Player 1 passade
Tur 444 | Player 1 passade
Tur 448 | Player 1 passade
Tur 452 | Player 1 passade
Tur 456 | Player 1 passade
Tur 460 | Player 1 passade
Tur 464 | Player 1 passade
Tur 468 | Player 1 passade
Tur 472 | Player 1 passade
Tur 476 | Player 1 passade
Tur 480 | Player 1 passade
Tur 484 | Player 1 passade
Tur 488 | Player 1 passade
Tur 492 | Player 1 passade
Tur 496 | Player 1 passade

=== SLUT PÅ MATCH ===
